trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5149058303928349}",20,5,12.135485881050244,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.5068321851239135}",20,0,-69.74311605734877,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.49888513338740303}",20,9,13.236827288742376,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4910626902159293}",25,0,-67.22717519872387,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.48336290176610563}",30,13,-12.024356830636213,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.4757838448305127}",25,11,-37.42715843993939,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.468323626357332}",25,19,10.911916742381814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.4609803829775099}",30,12,-24.242257254916048,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.45375228053933686}",25,12,-12.03756982723771,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.44663751365032384}",20,0,-100.159823101136,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.43963430522626185}",30,0,5.574259350985555,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.4327409060473526}",20,9,-15.190563111087707,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4259555943212988}",20,0,-22.21927410416005,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.4192766752532451}",20,15,10.918828334241198,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.412702480622462}",20,14,-9.119944727618359,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4062313683656683}",20,0,-33.92811019273589,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.39986172216688526}",25,0,0.24077586314953692,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.39359195105372374}",25,0,-37.80540612966682,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.3874204890000001}",30,13,-21.177575352802336,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38134579453458356}",25,11,-1.5198838670707016,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.3753663503563767}",25,15,16.69684042567533,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.369480662955333}",25,17,14.515619199750077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.36368726223941683}",30,15,20.531892387972984,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3579847011674125}",20,2,2.076569295245295,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.352371555387491}",20,0,20.718609102157565,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.34684642288144385}",25,0,-47.49960209768372,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.34140792361449507}",20,8,1.2297294108106345,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3360546991906047}",25,17,14.421916357266019,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.3307854125131766}",25,16,-25.18058063713738,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.3255987474510861}",20,0,-33.17269177874466,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.32049340850994495}",20,14,-0.024627655169043194,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3154681205085201}",35,17,19.44907739486609,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.31052162826022683}",25,15,-25.686893374585722,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.30565269625961566}",20,0,-39.803542675636486,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.30086010837377486}",20,13,12.671560672971106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.2961426675385722}",30,15,-13.018689152507992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.29149919545965935}",25,18,13.551980227575768,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2869285323181646}",25,11,-67.16567565073053,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
80,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,0,-4.829595703674256,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.2780010842157114}",30,13,22.64537908472739,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.2736420694097986}",20,6,27.450716236234857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.2693514032944378}",25,7,-66.30759388119722,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.2651280141725349}",20,0,-59.26348542763493,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.26097084715104374}",20,13,0.19745844592964312,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.25687886387748093}",20,9,24.664248835411485,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.2528510422805726}",25,4,23.043298916423257,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.2488863763149669}",25,7,-6.230763929608155,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.24498387570995087}",20,6,23.06564223915329,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.24114256572210577}",25,15,10.365984023719127,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.23736148689184178}",20,10,16.19342530600556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.23363969480374988}",25,8,-41.710984306584265,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.22997625985071116}",30,12,6.432103379243253,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.2263702670017054}",25,6,-13.3242286948214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.22282081557325983}",25,0,-65.52930796220181,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.2193270190044819}",25,10,1.8996003564649198,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.21588800463561916}",20,0,11.20147704872095,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.2125029134900917}",25,0,10.776877764648322,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.20917090005994202}",25,0,12.122685083472964,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.20589113209464907}",30,4,15.560783047843382,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.2026627903932537}",25,17,-8.562409265249382,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.19948506859974324}",25,16,3.977224777962512,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.19635717300164515}",25,11,25.280759871047046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.19327832233177794}",35,25,22.194343685735678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.1902477475731109}",25,17,14.64275843561999,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.18726469176668367}",20,3,-12.50882045447413,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.18432840982253737}",20,0,26.07952706212724,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
